Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
12-AUG-2025,25156.95,25292.35,25064.75,25085.4,375709147,30449.24
11-AUG-2025,24944.75,25187.95,24916.6,25172.2,415503491,29587.81
08-AUG-2025,25145.1,25182.4,24908.05,24934.05,461698396,45967.39
07-AUG-2025,25046.3,25225.3,24916.25,25185.15,799828846,45455.3
06-AUG-2025,25256.7,25275.2,25122.1,25156.35,439591029,32122.4
05-AUG-2025,25333.1,25335.2,25189,25257.95,405712342,32931.21
04-AUG-2025,25178.65,25342.55,25132.6,25330.2,436913469,30508.61
01-AUG-2025,25353.55,25385.05,25120.3,25149.6,454272196,35525.05
31-JUL-2025,25241.7,25560.5,25237.5,25380.5,591097633,41918.55
30-JUL-2025,25510.65,25520,25389.85,25476.05,464692905,34227.28
29-JUL-2025,25216.95,25468.1,25209.5,25443.65,468770096,35910.89
28-JUL-2025,25387.75,25510.1,25251.4,25285,447934830,33908.92
25-JUL-2025,25650.95,25650.95,25412.15,25442.1,486417548,35127.64
24-JUL-2025,25867.85,25874.05,25648.55,25701.9,632797895,37301.4
23-JUL-2025,25778.15,25857,25708.8,25846,524649006,34338.87
22-JUL-2025,25822.9,25832.2,25686.25,25703.9,757218891,43774.33
21-JUL-2025,25652.95,25765.25,25535.5,25745.35,463731236,34070.11
18-JUL-2025,25779.7,25809,25586.25,25623.5,484652384,35846.83
17-JUL-2025,25896,25902.8,25767.85,25776.45,403560008,34260.11
16-JUL-2025,25850.7,25906.15,25777.25,25872.2,473953674,33440.94
15-JUL-2025,25740.3,25891.2,25733.45,25849.15,418713064,32291.94
14-JUL-2025,25759.85,25764.9,25644.6,25724.15,460472889,34998.36
11-JUL-2025,25885.6,25947.1,25737.9,25760.8,443278993,36555.03
10-JUL-2025,26123.5,26136.9,25958.05,25971.35,429557892,31960.72
09-JUL-2025,26121.75,26159.55,26030.95,26084,457390034,31917.2
08-JUL-2025,26052.3,26149.5,26028.35,26126.05,381539205,31544.4
07-JUL-2025,26063.2,26106.7,26018.4,26074.55,386765915,26493.38
04-JUL-2025,26035.35,26075.05,25938.05,26066.65,368689034,28076.77
03-JUL-2025,26116.6,26173.6,25984.4,26003,503673946,35715.71
02-JUL-2025,26198.9,26223.2,25987.2,26068.05,524389644,37534.84
01-JUL-2025,26179.35,26209.9,26107.35,26156.1,487553115,35954.56
30-JUN-2025,26256.85,26265.15,26088.15,26139.5,515164923,37918.97
27-JUN-2025,26156.55,26239.95,26117.55,26223.6,891680543,66807.76
26-JUN-2025,25856.6,26137,25849.45,26121.1,666869363,51647.29
