Date ,OPEN ,HIGH ,LOW ,close ,VOLUME 
01-Oct-2024,2961.3,2975.9,2925.65,2929.65,8215821
30-Sep-2024,3038.8,3049.95,2948.8,2953.15,13504407
27-Sep-2024,2998,3066.95,2984,3052.35,10298739
26-Sep-2024,2981.3,3008,2976.1,2995.9,9409499
25-Sep-2024,2967.8,2993,2960.4,2987.9,3534501
24-Sep-2024,2977,3001,2975.75,2978.75,8568722
23-Sep-2024,2982,3003,2977.9,2986.75,4416157
20-Sep-2024,2948,2990,2942.75,2971.85,15448660
19-Sep-2024,2932.5,2953,2911.1,2939.35,8477951
18-Sep-2024,2940,2964,2921.1,2926.9,4287357
17-Sep-2024,2948,2954.95,2933.25,2944.6,2967664
16-Sep-2024,2955.1,2961.8,2929.5,2942.7,2740887
13-Sep-2024,2952.8,2966.3,2939,2945.25,4355664
12-Sep-2024,2914,2972,2891.75,2959.6,11174688
11-Sep-2024,2926.1,2937.5,2895.1,2903,4880101
10-Sep-2024,2921,2944.1,2915.15,2923.05,5384130
09-Sep-2024,2933,2939.85,2911.2,2924.9,4505149
06-Sep-2024,2985,2994,2923.25,2929.65,9697114
05-Sep-2024,3038.1,3051.55,2974.1,2985.95,8132084
04-Sep-2024,3001.4,3035,2999,3029.1,5991652
03-Sep-2024,3042.5,3046,3015,3018.25,5461900
02-Sep-2024,3021.75,3053.6,3013.25,3032.5,5620426
30-Aug-2024,3068,3079.45,3006.65,3019.25,20810365
29-Aug-2024,3006.2,3074,2988,3041.85,19167679
28-Aug-2024,3010,3014.95,2986,2996.6,4805143
27-Aug-2024,3021,3026.95,2998.9,3000.9,3125578
26-Aug-2024,3013.95,3046,3006,3025.2,4408057
23-Aug-2024,3007.5,3022.65,2996.85,2999.95,4624827
22-Aug-2024,3006,3013,2981.3,2996.25,5222891
21-Aug-2024,2986.5,3015.75,2980,2997.35,3884998
20-Aug-2024,2994.45,3007.85,2980.05,2991.9,4205904
19-Aug-2024,2965,2996.6,2961,2976.8,6898871
16-Aug-2024,2937.3,2960.8,2916.1,2956.4,4708451
